,count,mean,std,min,max,range
band_gap,41.0,1.9593766768292684,0.21238710987354736,1.424,2.168,0.7440000000000002
lattice_constant,41.0,5.6584425000000005,0.0024306474487907747,5.65325,5.6611,0.007850000000000357
density,41.0,4.5388,0.466468044564684,3.76,5.3176,1.5575999999999999
bulk_modulus,41.0,76.4,0.5390616847819903,75.5,77.3,1.7999999999999972
shear_modulus,41.0,35.05,0.9283840126800977,33.5,36.6,3.1000000000000014
thermal_conductivity,41.0,70.9375,13.528756157314039,46.0,91.0,45.0
refractive_index,41.0,3.125,0.1048175498187206,2.95,3.3,0.34999999999999964
electron_mobility,41.0,3593.6341463414633,3921.919120507826,140.0,8500.0,8360.0
hole_mobility,41.0,300.0,59.8957427535547,200.0,400.0,200.0
band_gap_direct,41.0,2.2821375,0.5017275866886474,1.424,3.099,1.6750000000000003
band_gap_indirect_X,41.0,2.0250625,0.08037830811256899,1.9,2.168,0.26800000000000024
electron_affinity,41.0,3.785,0.170702866847631,3.5,4.07,0.5700000000000003
electron_effective_mass,41.0,0.10850000000000003,0.0248567332427252,0.067,0.15,0.08299999999999999
hole_effective_mass_heavy,41.0,0.63,0.07786446557962111,0.5,0.76,0.26
static_dielectric,41.0,11.48,0.8505195471004768,10.06,12.9,2.84
optical_dielectric,41.0,9.525,0.8175768885860217,8.16,10.89,2.7300000000000004
elastic_c11,41.0,121.89999999999999,1.8567680253601966,118.8,125.0,6.200000000000003
elastic_c12,41.0,53.599999999999994,0.1197914855071093,53.4,53.8,0.3999999999999986
elastic_c44,41.0,56.79999999999999,1.5572893115924207,54.2,59.4,5.199999999999996
thermal_expansion,41.0,6.029999999999999e-06,4.971346648545041e-07,5.2e-06,6.86e-06,1.6600000000000002e-06
specific_heat,41.0,385.0,32.94265851445509,330.0,440.0,110.0
debye_temperature,41.0,380.5,21.861946105047462,344.0,417.0,73.0
lattice_vegard,41.0,5.657175,0.0023509079030771055,5.65325,5.6611,0.007850000000000357
lattice_deviation,41.0,0.0012674999999998686,0.00061747797658097,0.0,0.0019499999999998963,0.0019499999999998963
